end_date,stock_code,score
2014-01-01,S000000,1.9053578185301148
2014-01-01,S000001,0.26565205774260764
2014-01-01,S000002,0.46252249553866304
2014-01-01,S000003,0.19176347609267555
2014-01-01,S000004,0.6252497476649114
2014-01-01,S000005,0.9879337830429966
2014-01-01,S000006,0.6406870672084005
2014-01-01,S000007,0.6787873215799587
2014-01-01,S000008,0.6915540740904738
2014-01-01,S000009,-1.3008708388036831
2014-01-01,S000010,-0.12211924642153858
2014-01-01,S000011,-0.6551924372704291
2014-01-01,S000012,-0.9329650475015963
2014-01-01,S000013,0.5315444011983984
2014-01-01,S000014,-0.39667956932535464
2014-01-01,S000015,0.3803485931588022
2014-01-01,S000016,0.3199855571743915
2014-01-01,S000017,2.042618153646801
2014-01-01,S000018,0.24672056266223336
2014-01-01,S000019,1.706527166751161
2014-01-01,S000020,-0.05173114617045338
2014-01-01,S000021,1.0778409655420806
2014-01-01,S000022,1.6387378901722665
2014-01-01,S000023,0.12378422095878026
2014-01-01,S000024,-1.160761894891822
2014-01-01,S000025,1.7784467043705459
2014-01-01,S000026,-0.9336691677205974
2014-01-01,S000027,0.36420317405372526
2014-01-01,S000028,-0.4639036548903221
2014-01-01,S000029,-0.3386140324347359
2014-01-01,S000030,-0.36748188809156906
2014-01-01,S000031,-1.9155188279152169
2014-01-01,S000032,-0.6409503679857319
2014-01-01,S000033,-0.2214328275159977
2014-01-01,S000034,-0.27486676863862153
2014-01-01,S000035,-0.8344437073365927
2014-01-01,S000036,0.5000484838653653
2014-01-01,S000037,1.0833196991513396
2014-01-01,S000038,1.2050436598976688
2014-01-01,S000039,0.7316103805599287
2014-01-01,S000040,1.1657950278649312
2014-01-01,S000041,0.678946325405633
2014-01-01,S000042,1.8176857883338933
2014-01-01,S000043,1.6683695039106317
2014-01-01,S000044,0.6379178655849174
2014-01-01,S000045,1.173260908702988
2014-01-01,S000046,-1.8565140443454664
2014-01-01,S000047,-0.43413357399187574
2014-01-01,S000048,0.25657905031081313
2014-01-01,S000049,-0.6639947203468289
2014-01-01,S000050,0.322102137776371
2014-01-01,S000051,0.8156478342648489
2014-01-01,S000052,-0.7354448205228367
2014-01-01,S000053,0.33170664859993415
2014-01-01,S000054,-0.9552879617255821
2014-01-01,S000055,1.298855088251085
2014-01-01,S000056,0.18188694461294946
2014-01-01,S000057,0.3578217880420383
2014-01-01,S000058,-0.6085447152428085
2014-01-01,S000059,0.7525598992635142
2014-01-01,S000060,-0.12949350438447474
2014-01-01,S000061,0.745060552654221
