round,date,factor_id,group,selected,updated_in_b_step,selected_success,unselected_evaluation,unselected_score,unselected_improvement,alpha_before,beta_before,alpha_after,beta_after,success_rate_after,score_final,score_aggregate,score_bayesian,perf_rank_percentile_input,perf_icir_input,perf_ls_return_input,recent_icir_lookback,recent_ls_mean_lookback,recent_ls_sharpe_lookback,recent_win_rate_lookback
2,2014-06-19,good_000,good,True,True,False,,,,8.0,2.0,8.0,3.0,0.7272727272727273,0.5564428727549413,0.39015383243385715,0.9444506335041377,0.7241379310344828,0.7471393483497557,0.0005709095789440142,0.7471394865523241,0.0005709095789440142,11.888631621307978,0.85
2,2014-06-19,good_001,good,True,False,,,,,8.0,2.0,8.0,2.0,0.8,0.6031575265658975,0.4724521413982601,0.9081367586237181,,,,0.7377654862066317,0.0005609485802730337,11.746229532422957,0.8
2,2014-06-19,good_002,good,True,True,False,,,,8.0,2.0,8.0,3.0,0.7272727272727273,0.5211954200962584,0.5089280786290685,0.5498192168530349,0.6551724137931034,1.0665832136844273,0.0006260097457717986,1.0665834726905485,0.0006260097457717986,17.006592243223434,0.85
2,2014-06-19,good_003,good,True,False,,,,,8.0,2.0,8.5,2.0,0.8095238095238095,0.6143974873775059,0.5247642192863231,0.8235417795902656,,,,0.952625181645011,0.0006833984095562463,15.129524519494774,0.85
2,2014-06-19,good_004,good,True,True,True,,,,8.0,2.0,9.0,2.0,0.8181818181818182,0.6070204636390106,0.483932084712958,0.8942266811331336,0.27586206896551724,1.4261067561780203,0.0006439627930751015,1.426107200516234,0.0006439627930751015,22.56627043337833,0.95
2,2014-06-19,good_005,good,True,True,True,,,,8.0,2.0,9.0,2.0,0.8181818181818182,0.59878909218164,0.5195949840438573,0.7835753445031332,0.4482758620689655,1.2388780945369224,0.0006753423695980418,1.2388784136052318,0.0006753423695980418,19.497198447758024,0.8
2,2014-06-19,good_006,good,True,True,True,,,,8.0,2.0,9.0,2.0,0.8181818181818182,0.6363246858277734,0.5000488127341767,0.9543017230461656,0.5862068965517241,1.0970681736515546,0.0006786231084331317,1.0970684224950886,0.0006786231084331317,17.493873922047875,0.85
2,2014-06-19,good_007,good,True,True,False,,,,8.0,2.0,8.0,3.0,0.7272727272727273,0.5587671896872031,0.43623200514626514,0.8446826202827252,0.8620689655172413,0.6132016255414132,0.00039704545911398755,0.6132017589470771,0.00039704545911398755,9.794107708804196,0.75
2,2014-06-19,good_008,good,True,True,True,,,,8.0,2.0,9.0,2.0,0.8181818181818182,0.6097897780276396,0.5454341847289801,0.7599528290578451,0.6896551724137931,0.9976610623509427,0.000621818171508806,0.9976612883817367,0.000621818171508806,15.861140216786659,0.85
2,2014-06-19,good_009,good,True,True,False,,,,8.0,2.0,8.0,3.0,0.7272727272727273,0.5786883409190362,0.49487453329182207,0.7742538920492025,0.5172413793103449,1.209119415912891,0.0007127464746616447,1.2091197040883983,0.0007127464746616447,19.217873849888587,0.9
2,2014-06-19,good_010,good,True,True,True,,,,8.0,2.0,9.0,2.0,0.8181818181818182,0.6020258741355642,0.5233005906656573,0.7857182022320138,0.20689655172413793,1.4807015532910857,0.0007621126327335392,1.480701960894731,0.0007621126327335392,23.661280377616446,1.0
2,2014-06-19,good_011,good,True,True,False,,,,8.0,2.0,8.0,3.0,0.7272727272727273,0.5875661481888872,0.44663021563507377,0.9164166574811184,0.7586206896551724,0.744155260971304,0.0003684972924348657,0.7441554755641625,0.0003684972924348657,11.996418402675676,0.8
2,2014-06-19,good_012,good,True,True,True,,,,8.0,2.0,9.0,2.0,0.8181818181818182,0.65862729883377,0.569434072314853,0.8667448273779099,0.4827586206896552,1.2245735275426792,0.0006403628623954854,1.2245738599844933,0.0006403628623954854,19.454896353922344,0.95
2,2014-06-19,good_013,good,True,True,True,,,,8.0,2.0,9.0,2.0,0.8181818181818182,0.594280634243178,0.5383308608523552,0.7248301054884314,0.6206896551724138,1.086932338429002,0.0006670579620468343,1.0869325916266745,0.0006670579620468343,17.42030669071906,0.75
2,2014-06-19,good_014,good,True,True,True,,,,8.0,2.0,9.0,2.0,0.8181818181818182,0.6778221896640195,0.6043811762440419,0.8491845543106343,0.034482758620689655,3.2905420282080526,0.0009507461837878336,3.290543630005624,0.0009507461837878336,52.668502638625746,1.0
2,2014-06-19,good_015,good,True,True,True,,,,8.0,2.0,9.0,2.0,0.8181818181818182,0.6650156444482044,0.6269394659741931,0.753860060887564,0.0,4.103002555631947,0.0011451987656902294,4.103004623792535,0.0011451987656902294,65.91430584437778,1.0
2,2014-06-19,good_016,good,False,True,False,,,,8.0,2.0,8.0,3.0,0.7272727272727273,0.5126158158664749,0.42188580681758825,0.724319170313877,0.896551724137931,0.6035823915720604,0.0003965038335479092,0.603582521761539,0.0003965038335479092,9.528999033789797,0.75
2,2014-06-19,good_017,good,True,True,True,,,,8.0,2.0,9.0,2.0,0.8181818181818182,0.5982126619975057,0.5535114388158097,0.7025155160881299,0.3793103448275862,1.2649611321730776,0.0006935618012513205,1.2649614574458365,0.0006935618012513205,20.225173215218355,0.9
